run_id,seed,model_rate,eval_acc,device_type,client_model_rate,node_id
3moap2c9,1338,0.125,0.492,rpi5,0.5,3412346797244411213
3moap2c9,1338,0.125,0.568,rpi5,0.5,7634992216063629618
3moap2c9,1338,0.125,0.592,rpi5,0.5,9538541729295568037
3moap2c9,1338,0.125,0.52,rpi5,0.5,2464849714072881623
3moap2c9,1338,0.125,0.518,rpi5,0.5,8016066273226551885
3moap2c9,1338,0.125,0.526,rpi5,1.0,12398154782481318339
3moap2c9,1338,0.125,0.498,rpi5,1.0,11989061654722626206
3moap2c9,1338,0.125,0.548,rpi5,1.0,11247625721786980192
3moap2c9,1338,0.125,0.54,rpi5,1.0,11621155121493435742
3moap2c9,1338,0.125,0.54,rpi5,1.0,15299217919602445365
3moap2c9,1338,0.125,0.486,rpi4,0.25,9474992290233265485
3moap2c9,1338,0.125,0.558,rpi4,0.125,755510680365679959
3moap2c9,1338,0.125,0.488,rpi4,0.125,45997990884079957
3moap2c9,1338,0.125,0.5,rpi4,0.25,18189378514272029545
3moap2c9,1338,0.125,0.476,rpi4,0.25,11924901246815274039
3moap2c9,1338,0.125,0.504,rpi4,0.125,1371194568745741008
3moap2c9,1338,0.125,0.5,rpi4,0.125,710554775229809105
3moap2c9,1338,0.125,0.558,rpi4,0.25,16647124337264895772
3moap2c9,1338,0.125,0.474,rpi4,0.125,1417086790288460044
3moap2c9,1338,0.125,0.492,rpi4,0.25,12699064801686987462
3moap2c9,1338,0.25,0.628,rpi5,1.0,11621155121493435742
3moap2c9,1338,0.25,0.64,rpi5,1.0,11247625721786980192
3moap2c9,1338,0.25,0.644,rpi5,0.5,9538541729295568037
3moap2c9,1338,0.25,0.63,rpi5,1.0,15299217919602445365
3moap2c9,1338,0.25,0.646,rpi5,1.0,12398154782481318339
3moap2c9,1338,0.25,0.61,rpi5,0.5,2464849714072881623
3moap2c9,1338,0.25,0.622,rpi5,1.0,11989061654722626206
3moap2c9,1338,0.25,0.658,rpi5,0.5,3412346797244411213
3moap2c9,1338,0.25,0.612,rpi5,0.5,8016066273226551885
3moap2c9,1338,0.25,0.65,rpi5,0.5,7634992216063629618
3moap2c9,1338,0.25,0.604,rpi4,0.125,1417086790288460044
3moap2c9,1338,0.25,0.588,rpi4,0.25,9474992290233265485
3moap2c9,1338,0.25,0.626,rpi4,0.25,16647124337264895772
3moap2c9,1338,0.25,0.618,rpi4,0.125,755510680365679959
3moap2c9,1338,0.25,0.564,rpi4,0.25,11924901246815274039
3moap2c9,1338,0.25,0.604,rpi4,0.125,1371194568745741008
3moap2c9,1338,0.25,0.584,rpi4,0.125,45997990884079957
3moap2c9,1338,0.25,0.594,rpi4,0.125,710554775229809105
3moap2c9,1338,0.25,0.59,rpi4,0.25,18189378514272029545
3moap2c9,1338,0.25,0.584,rpi4,0.25,12699064801686987462
3moap2c9,1338,1.0,0.724,rpi5,1.0,12398154782481318339
3moap2c9,1338,1.0,0.724,rpi5,0.5,2464849714072881623
3moap2c9,1338,1.0,0.742,rpi5,1.0,11989061654722626206
3moap2c9,1338,1.0,0.73,rpi5,0.5,8016066273226551885
3moap2c9,1338,1.0,0.732,rpi5,0.5,7634992216063629618
3moap2c9,1338,1.0,0.746,rpi5,1.0,15299217919602445365
3moap2c9,1338,1.0,0.692,rpi5,1.0,11621155121493435742
3moap2c9,1338,1.0,0.72,rpi5,0.5,3412346797244411213
3moap2c9,1338,1.0,0.76,rpi5,0.5,9538541729295568037
3moap2c9,1338,1.0,0.736,rpi5,1.0,11247625721786980192
3moap2c9,1338,1.0,0.708,rpi4,0.125,755510680365679959
3moap2c9,1338,1.0,0.632,rpi4,0.25,11924901246815274039
3moap2c9,1338,1.0,0.684,rpi4,0.125,1417086790288460044
3moap2c9,1338,1.0,0.718,rpi4,0.125,710554775229809105
3moap2c9,1338,1.0,0.702,rpi4,0.125,45997990884079957
3moap2c9,1338,1.0,0.706,rpi4,0.125,1371194568745741008
3moap2c9,1338,1.0,0.704,rpi4,0.25,16647124337264895772
3moap2c9,1338,1.0,0.69,rpi4,0.25,9474992290233265485
3moap2c9,1338,1.0,0.686,rpi4,0.25,18189378514272029545
3moap2c9,1338,1.0,0.676,rpi4,0.25,12699064801686987462
3moap2c9,1338,0.5,0.698,rpi5,0.5,7634992216063629618
3moap2c9,1338,0.5,0.7,rpi5,1.0,12398154782481318339
3moap2c9,1338,0.5,0.694,rpi5,1.0,11247625721786980192
3moap2c9,1338,0.5,0.706,rpi5,0.5,9538541729295568037
3moap2c9,1338,0.5,0.686,rpi5,1.0,11989061654722626206
3moap2c9,1338,0.5,0.682,rpi5,0.5,8016066273226551885
3moap2c9,1338,0.5,0.67,rpi5,0.5,3412346797244411213
3moap2c9,1338,0.5,0.686,rpi5,1.0,15299217919602445365
3moap2c9,1338,0.5,0.674,rpi5,1.0,11621155121493435742
3moap2c9,1338,0.5,0.664,rpi5,0.5,2464849714072881623
3moap2c9,1338,0.5,0.618,rpi4,0.25,11924901246815274039
3moap2c9,1338,0.5,0.672,rpi4,0.125,755510680365679959
3moap2c9,1338,0.5,0.668,rpi4,0.125,1417086790288460044
3moap2c9,1338,0.5,0.656,rpi4,0.25,9474992290233265485
3moap2c9,1338,0.5,0.674,rpi4,0.25,16647124337264895772
3moap2c9,1338,0.5,0.692,rpi4,0.125,1371194568745741008
3moap2c9,1338,0.5,0.65,rpi4,0.125,45997990884079957
3moap2c9,1338,0.5,0.666,rpi4,0.125,710554775229809105
3moap2c9,1338,0.5,0.65,rpi4,0.25,18189378514272029545
3moap2c9,1338,0.5,0.638,rpi4,0.25,12699064801686987462
ppd09xho,1339,0.25,0.63,rpi5,1.0,12254965997330118812
ppd09xho,1339,0.25,0.636,rpi5,0.5,1458218604761573577
ppd09xho,1339,0.25,0.626,rpi5,0.5,4662829538578076488
ppd09xho,1339,0.25,0.642,rpi5,1.0,17300717864819039774
ppd09xho,1339,0.25,0.62,rpi5,1.0,17144387608354275065
ppd09xho,1339,0.25,0.626,rpi5,0.5,2282751180084717389
ppd09xho,1339,0.25,0.614,rpi5,1.0,16409799367555963630
ppd09xho,1339,0.25,0.656,rpi5,0.5,1529659832144314887
ppd09xho,1339,0.25,0.636,rpi5,1.0,7225968127614839473
ppd09xho,1339,0.25,0.658,rpi5,0.5,7175012444012679197
ppd09xho,1339,0.25,0.604,rpi4,0.125,3227209898610153862
ppd09xho,1339,0.25,0.606,rpi4,0.25,13915940709270704391
ppd09xho,1339,0.25,0.578,rpi4,0.25,12220157279232341098
ppd09xho,1339,0.25,0.626,rpi4,0.25,14974381105680482172
ppd09xho,1339,0.25,0.592,rpi4,0.125,1133218228637240824
ppd09xho,1339,0.25,0.63,rpi4,0.25,7572010628922788228
ppd09xho,1339,0.25,0.618,rpi4,0.125,575377794368715397
ppd09xho,1339,0.25,0.584,rpi4,0.125,7523708423098511066
ppd09xho,1339,0.25,0.584,rpi4,0.25,9797430400752820113
ppd09xho,1339,0.25,0.628,rpi4,0.125,253774690459410064
ppd09xho,1339,0.125,0.578,rpi5,1.0,17300717864819039774
ppd09xho,1339,0.125,0.52,rpi5,1.0,7225968127614839473
ppd09xho,1339,0.125,0.552,rpi5,0.5,1529659832144314887
ppd09xho,1339,0.125,0.546,rpi5,0.5,7175012444012679197
ppd09xho,1339,0.125,0.526,rpi5,1.0,16409799367555963630
ppd09xho,1339,0.125,0.522,rpi5,1.0,12254965997330118812
ppd09xho,1339,0.125,0.572,rpi5,0.5,2282751180084717389
ppd09xho,1339,0.125,0.518,rpi5,0.5,1458218604761573577
ppd09xho,1339,0.125,0.544,rpi5,1.0,17144387608354275065
ppd09xho,1339,0.125,0.506,rpi5,0.5,4662829538578076488
ppd09xho,1339,0.125,0.49,rpi4,0.25,13915940709270704391
ppd09xho,1339,0.125,0.54,rpi4,0.125,3227209898610153862
ppd09xho,1339,0.125,0.49,rpi4,0.25,12220157279232341098
ppd09xho,1339,0.125,0.522,rpi4,0.25,7572010628922788228
ppd09xho,1339,0.125,0.512,rpi4,0.25,9797430400752820113
ppd09xho,1339,0.125,0.512,rpi4,0.125,7523708423098511066
ppd09xho,1339,0.125,0.49,rpi4,0.125,1133218228637240824
ppd09xho,1339,0.125,0.51,rpi4,0.25,14974381105680482172
ppd09xho,1339,0.125,0.536,rpi4,0.125,575377794368715397
ppd09xho,1339,0.125,0.558,rpi4,0.125,253774690459410064
ppd09xho,1339,0.5,0.684,rpi5,0.5,4662829538578076488
ppd09xho,1339,0.5,0.684,rpi5,1.0,17144387608354275065
ppd09xho,1339,0.5,0.69,rpi5,0.5,7175012444012679197
ppd09xho,1339,0.5,0.664,rpi5,1.0,12254965997330118812
ppd09xho,1339,0.5,0.666,rpi5,1.0,16409799367555963630
ppd09xho,1339,0.5,0.684,rpi5,1.0,17300717864819039774
ppd09xho,1339,0.5,0.7,rpi5,1.0,7225968127614839473
ppd09xho,1339,0.5,0.708,rpi5,0.5,1458218604761573577
ppd09xho,1339,0.5,0.718,rpi5,0.5,2282751180084717389
ppd09xho,1339,0.5,0.712,rpi5,0.5,1529659832144314887
ppd09xho,1339,0.5,0.672,rpi4,0.25,12220157279232341098
ppd09xho,1339,0.5,0.688,rpi4,0.125,3227209898610153862
ppd09xho,1339,0.5,0.656,rpi4,0.25,13915940709270704391
ppd09xho,1339,0.5,0.666,rpi4,0.125,1133218228637240824
ppd09xho,1339,0.5,0.672,rpi4,0.125,7523708423098511066
ppd09xho,1339,0.5,0.676,rpi4,0.25,7572010628922788228
ppd09xho,1339,0.5,0.632,rpi4,0.25,9797430400752820113
ppd09xho,1339,0.5,0.646,rpi4,0.25,14974381105680482172
ppd09xho,1339,0.5,0.676,rpi4,0.125,575377794368715397
ppd09xho,1339,0.5,0.684,rpi4,0.125,253774690459410064
ppd09xho,1339,1.0,0.696,rpi5,0.5,4662829538578076488
ppd09xho,1339,1.0,0.74,rpi5,0.5,1529659832144314887
ppd09xho,1339,1.0,0.742,rpi5,1.0,12254965997330118812
ppd09xho,1339,1.0,0.692,rpi5,0.5,7175012444012679197
ppd09xho,1339,1.0,0.72,rpi5,1.0,17144387608354275065
ppd09xho,1339,1.0,0.746,rpi5,1.0,7225968127614839473
ppd09xho,1339,1.0,0.718,rpi5,1.0,16409799367555963630
ppd09xho,1339,1.0,0.73,rpi5,0.5,1458218604761573577
ppd09xho,1339,1.0,0.718,rpi5,1.0,17300717864819039774
ppd09xho,1339,1.0,0.76,rpi5,0.5,2282751180084717389
ppd09xho,1339,1.0,0.694,rpi4,0.125,1133218228637240824
ppd09xho,1339,1.0,0.692,rpi4,0.125,7523708423098511066
ppd09xho,1339,1.0,0.7,rpi4,0.25,7572010628922788228
ppd09xho,1339,1.0,0.704,rpi4,0.125,3227209898610153862
ppd09xho,1339,1.0,0.674,rpi4,0.25,13915940709270704391
ppd09xho,1339,1.0,0.702,rpi4,0.25,14974381105680482172
ppd09xho,1339,1.0,0.682,rpi4,0.25,12220157279232341098
ppd09xho,1339,1.0,0.708,rpi4,0.125,575377794368715397
ppd09xho,1339,1.0,0.688,rpi4,0.25,9797430400752820113
ppd09xho,1339,1.0,0.702,rpi4,0.125,253774690459410064
