case,seed,clients,method,data_used,rpi5_rate,rpi4_rate,run_id,final_acc,best_acc,total_time_s,total_time_min,mean_round_time_s,round_count
A,1337,12 rpi5,FedAvg,12/15,1.0,excluded,xfb856p2,0.6854,0.6854,1617.5750757259957,26.959584595433263,57.40745505930063,20
A,1338,12 rpi5,FedAvg,12/15,1.0,excluded,krrq6dk8,0.7148,0.7148,1604.795785328999,26.746596422149985,57.54998417110037,20
A,1339,12 rpi5,FedAvg,12/15,1.0,excluded,1g4o2zwd,0.6881,0.6881,1602.9870829590072,26.71645138265012,57.091208145850395,20
B,1337,12 rpi5 + 3 rpi4,FedAvg,15/15,1.0,1.0,vq2hb555,0.704,0.704,7274.273943237,121.23789905395,331.5942955950999,20
B,1338,12 rpi5 + 3 rpi4,FedAvg,15/15,1.0,1.0,2ed7dhxe,0.7343,0.7343,8066.957345750008,134.44928909583348,371.15298159400044,20
B,1339,12 rpi5 + 3 rpi4,FedAvg,15/15,1.0,1.0,vipil02r,0.7088,0.7088,7300.062095878005,121.66770159796674,332.6498068911002,20
C,1337,12 rpi5 + 3 rpi4,HeteroFL,15/15,1.0,1/8,0qujvgnw,0.6972,0.6972,2373.977604214997,39.56629340358328,93.07521074795076,20
C,1338,12 rpi5 + 3 rpi4,HeteroFL,15/15,1.0,1/8,yypr04xd,0.7151,0.7151,2517.612950505005,41.96021584175008,100.25640585210058,20
C,1339,12 rpi5 + 3 rpi4,HeteroFL,15/15,1.0,1/8,u3o90zou,0.694,0.694,2151.7216666759923,35.86202777793321,80.97863827519905,20
D,1337,12 rpi5 + 3 rpi4,FedRolex,15/15,1.0,1/8,2qe5vs0v,0.6928,0.6928,2365.7518858969997,39.42919809828333,92.5771179247491,20
D,1338,12 rpi5 + 3 rpi4,FedRolex,15/15,1.0,1/8,1i0csvsx,0.7057,0.7057,2530.334270145002,42.17223783575003,100.03837373859861,20
D,1339,12 rpi5 + 3 rpi4,FedRolex,15/15,1.0,1/8,mfjq23sm,0.6838,0.6838,2167.9568248290016,36.132613747150025,80.88248736955066,20
E,1337,12 rpi5 + 3 rpi4,FIARSE,15/15,1.0,1/8,11po16lu,0.7077,0.7077,7975.693513252001,132.9282252208667,371.80213741659935,20
E,1338,12 rpi5 + 3 rpi4,FIARSE,15/15,1.0,1/8,qpkjajnk,0.7214,0.7214,8831.723102937991,147.19538504896653,408.39882384864904,20
E,1339,12 rpi5 + 3 rpi4,FIARSE,15/15,1.0,1/8,1ncwevzt,0.7,0.7,8015.966334900993,133.59943891501655,373.07087799665317,20
