method,seed,mix,avg_params,score,run_id
fedrolex,1337,"0:1,1:0.0625,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",39050.0,0.5613,b6ww05t3
fedrolex,1338,"0:1,1:0.0625,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",39050.0,0.5566,s7pcofa3
fedrolex,1339,"0:1,1:0.0625,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",39050.0,0.5546,toqv0egd
fedrolex,1337,"0:1,1:1,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",76298.0,0.6365,gmd6ifbi
fedrolex,1338,"0:1,1:1,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",76298.0,0.6352,ggejid2j
fedrolex,1339,"0:1,1:1,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",76298.0,0.6392,tgtbiytc
fedrolex,1337,"0:1,1:1,2:1,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",113546.0,0.6466,i808i58o
fedrolex,1338,"0:1,1:1,2:1,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",113546.0,0.6546,6tuq4894
fedrolex,1339,"0:1,1:1,2:1,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",113546.0,0.6555,1x3m085g
fedrolex,1337,"0:1,1:1,2:1,3:1,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",150794.0,0.667,nfd0vfgd
fedrolex,1338,"0:1,1:1,2:1,3:1,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",150794.0,0.6635,wtvw7ydd
fedrolex,1339,"0:1,1:1,2:1,3:1,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",150794.0,0.6582,j3ezud9x
fedrolex,1337,"0:1,1:1,2:1,3:1,4:1,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",188042.0,0.6706,lun7lqj0
fedrolex,1338,"0:1,1:1,2:1,3:1,4:1,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",188042.0,0.6719,cp7bie0a
fedrolex,1339,"0:1,1:1,2:1,3:1,4:1,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",188042.0,0.6632,u5h46aov
fedrolex,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.0625,7:0.0625,8:0.0625,9:0.0625",225290.0,0.6689,c6kd63iw
fedrolex,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.0625,7:0.0625,8:0.0625,9:0.0625",225290.0,0.6765,ckf5rvhp
fedrolex,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.0625,7:0.0625,8:0.0625,9:0.0625",225290.0,0.6725,23nd7e2r
fedrolex,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.0625,8:0.0625,9:0.0625",262538.0,0.6744,o3vag1y4
fedrolex,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.0625,8:0.0625,9:0.0625",262538.0,0.6799,61hfpeno
fedrolex,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.0625,8:0.0625,9:0.0625",262538.0,0.6737,6c1st1qf
fedrolex,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.0625,9:0.0625",299786.0,0.675,eb8zg3xn
fedrolex,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.0625,9:0.0625",299786.0,0.6816,fxgj85js
fedrolex,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.0625,9:0.0625",299786.0,0.6758,hxoqr8c4
fedrolex,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.0625",337034.0,0.6765,t8q1c0m0
fedrolex,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.0625",337034.0,0.6851,emi2jq8i
fedrolex,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.0625",337034.0,0.6814,zer4tgyl
fiarse,1337,"0:1,1:0.0625,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",39050.0,0.6032,bdkttiqg
fiarse,1338,"0:1,1:0.0625,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",39050.0,0.6051,3k4bqizk
fiarse,1339,"0:1,1:0.0625,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",39050.0,0.5704,7h87ofly
fiarse,1337,"0:1,1:1,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",76298.0,0.6501,3xowhrzf
fiarse,1338,"0:1,1:1,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",76298.0,0.658,fg452vqu
fiarse,1339,"0:1,1:1,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",76298.0,0.643,ir89qsv9
fiarse,1337,"0:1,1:1,2:1,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",113546.0,0.6662,46mwntyy
fiarse,1338,"0:1,1:1,2:1,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",113546.0,0.6677,ricym5qd
fiarse,1339,"0:1,1:1,2:1,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",113546.0,0.656,5kepyz6x
fiarse,1337,"0:1,1:1,2:1,3:1,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",150794.0,0.6735,yc77j0d1
fiarse,1338,"0:1,1:1,2:1,3:1,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",150794.0,0.6714,m8pmij3x
fiarse,1339,"0:1,1:1,2:1,3:1,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",150794.0,0.6599,fbw6nx4i
fiarse,1337,"0:1,1:1,2:1,3:1,4:1,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",188042.0,0.682,juxqggm2
fiarse,1338,"0:1,1:1,2:1,3:1,4:1,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",188042.0,0.6707,82ghrlaq
fiarse,1339,"0:1,1:1,2:1,3:1,4:1,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",188042.0,0.6685,og6uf8k0
fiarse,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.0625,7:0.0625,8:0.0625,9:0.0625",225290.0,0.6834,co7vtbly
fiarse,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.0625,7:0.0625,8:0.0625,9:0.0625",225290.0,0.6761,iee17olm
fiarse,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.0625,7:0.0625,8:0.0625,9:0.0625",225290.0,0.6709,48f3uddj
fiarse,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.0625,8:0.0625,9:0.0625",262538.0,0.6859,1ikrmdcv
fiarse,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.0625,8:0.0625,9:0.0625",262538.0,0.6771,w7vhu8yv
fiarse,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.0625,8:0.0625,9:0.0625",262538.0,0.6733,jg0fwx10
fiarse,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.0625,9:0.0625",299786.0,0.6847,pemybpa5
fiarse,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.0625,9:0.0625",299786.0,0.6787,2ar4qtcx
fiarse,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.0625,9:0.0625",299786.0,0.6758,mslg85e3
fiarse,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.0625",337034.0,0.6843,3tol4r8y
fiarse,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.0625",337034.0,0.6788,b657z54e
fiarse,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.0625",337034.0,0.68,1kw8wr1f
heterofl,1337,"0:1,1:0.0625,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",39050.0,0.542,gjo16go5
heterofl,1338,"0:1,1:0.0625,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",39050.0,0.5679,rim6hrda
heterofl,1339,"0:1,1:0.0625,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",39050.0,0.5635,8p4xjjpm
heterofl,1337,"0:1,1:1,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",76298.0,0.638,8sk5xh65
heterofl,1338,"0:1,1:1,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",76298.0,0.6405,k6l2653a
heterofl,1339,"0:1,1:1,2:0.0625,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",76298.0,0.632,7nu810pa
heterofl,1337,"0:1,1:1,2:1,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",113546.0,0.6583,4ialdzvx
heterofl,1338,"0:1,1:1,2:1,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",113546.0,0.6588,mp1k91i5
heterofl,1339,"0:1,1:1,2:1,3:0.0625,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",113546.0,0.6531,ww7ufztx
heterofl,1337,"0:1,1:1,2:1,3:1,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",150794.0,0.6642,1ajaf5bj
heterofl,1338,"0:1,1:1,2:1,3:1,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",150794.0,0.6639,sxh9a44v
heterofl,1339,"0:1,1:1,2:1,3:1,4:0.0625,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",150794.0,0.668,9uhp9j4x
heterofl,1337,"0:1,1:1,2:1,3:1,4:1,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",188042.0,0.6702,4zb7kta3
heterofl,1338,"0:1,1:1,2:1,3:1,4:1,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",188042.0,0.6676,q0xr7e82
heterofl,1339,"0:1,1:1,2:1,3:1,4:1,5:0.0625,6:0.0625,7:0.0625,8:0.0625,9:0.0625",188042.0,0.6663,k6w3r7md
heterofl,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.0625,7:0.0625,8:0.0625,9:0.0625",225290.0,0.6739,h84ber8f
heterofl,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.0625,7:0.0625,8:0.0625,9:0.0625",225290.0,0.6748,jb7baget
heterofl,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:0.0625,7:0.0625,8:0.0625,9:0.0625",225290.0,0.6725,n0a9a6tl
heterofl,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.0625,8:0.0625,9:0.0625",262538.0,0.6749,2eelpq0a
heterofl,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.0625,8:0.0625,9:0.0625",262538.0,0.6773,ffvxutii
heterofl,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:0.0625,8:0.0625,9:0.0625",262538.0,0.6743,2p0h23x6
heterofl,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.0625,9:0.0625",299786.0,0.677,ja1b6abk
heterofl,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.0625,9:0.0625",299786.0,0.675,vvdgoy3h
heterofl,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:0.0625,9:0.0625",299786.0,0.6798,1ucgi40v
heterofl,1337,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.0625",337034.0,0.68,1c5tej2n
heterofl,1338,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.0625",337034.0,0.6771,in7egdec
heterofl,1339,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:0.0625",337034.0,0.6807,g7v8bwyw
