method,seed,run_id,client_trips,wall_clock_s,final_acc,rpi4_group_acc,rpi5_group_acc,rpi4_update_share,rpi4_weight_share,rpi4_staleness,rpi5_staleness,updates_per_second
fedavg,1337,x855vst0,750,8227.268865717997,0.4045,,,,,,,0.09116026378147873
fedbuff,1337,4pwdz3n5,1500,3978.354846945,0.4151,,,0.12933333333333333,0.09144713519834001,3.6391752577319583,1.046707503828484,0.3790694414570288
fedstaleweight,1337,otboqbw9,1500,3982.133329641001,0.4475,,,0.12466666666666666,0.3062068903089796,3.79144385026738,1.041127189642041,0.37867401192176786
fedasync,1337,da37radj,1500,7072.419709296999,0.438,0.0,0.875,0.17533333333333334,0.11932312236770569,27.254752851711025,11.084882780921584,0.21336582470673132
fedavg,1338,wuufqbcy,750,9235.130258648,0.4249,0.0742,0.7746,,,,,0.08121163199595174
fedbuff,1338,vi55i8zz,1500,6706.376563155005,0.4216,0.0,0.8462,0.17266666666666666,0.13705696085000837,2.7258687258687258,1.1079774375503626,0.22508332481245252
fedstaleweight,1338,ykl56p5a,1500,6640.646695911004,0.4567,0.0772,0.8388,0.17466666666666666,0.31176177324281024,2.6946564885496183,1.1106623586429725,0.2273260208119312
fedasync,1338,mivsq04b,1500,7050.760200664,0.4394,0.0,0.8808,0.17466666666666666,0.11934671570849756,27.286259541984737,11.0718901453958,0.21402504092348515
fedavg,1339,1ey5gjrc,750,9282.835571002,0.3939,0.0372,0.7414,,,,,0.08079427824218631
fedbuff,1339,p90mzxul,1500,6834.556978169,0.3873,0.0,0.765,0.174,0.1381632444125045,2.6973180076628354,1.1089588377723971,0.22086657350700817
fedstaleweight,1339,wpinnavy,1500,6815.76891415,0.4739,0.1808,0.7552,0.17133333333333334,0.3124543266159369,2.7392996108949417,1.1078037007240549,0.22145167472076685
fedasync,1339,cnscgnem,1500,7088.25133228,0.4123,0.0006,0.8264,0.174,0.11776945149413696,27.46360153256705,11.05811138014528,0.21287224027057805
