regime,topology,method,n,target_reached_count,target_censored,target_client_trips_mean,target_client_trips_std,target_wall_clock_s_mean,target_wall_clock_s_std,final_acc_mean,final_acc_std
iid,all_rpi5,fedasync,3,3,False,256.6666666666667,11.547005383792515,722.1160247379994,28.674469618036873,0.6171666666666668,0.013755120258773982
iid,all_rpi5,fedavg,3,3,False,195.0,0.0,651.0819297286798,34.08799668064224,0.6056333333333334,0.0019425069712444177
iid,all_rpi5,fedbuff,3,3,False,343.3333333333333,89.62886439832502,879.5648247036539,210.47712077128062,0.6027999999999999,0.00204205778566622
iid,all_rpi5,fedstaleweight,3,3,False,273.3333333333333,5.773502691896257,714.8359488276668,3.6684690962226885,0.6027,0.003553871128783365
iid,mixed,fedasync,3,3,False,136.66666666666666,5.773502691896257,621.8776756589996,9.282219779454387,0.6044666666666667,0.00395263625107768
iid,mixed,fedavg,3,3,False,195.0,0.0,2097.0536668126697,5.183197199649936,0.6051333333333333,0.002285461295522902
iid,mixed,fedbuff,3,3,False,386.6666666666667,15.275252316519467,1137.6340073266704,76.65720844720978,0.6004333333333333,0.0002516611478423821
iid,mixed,fedstaleweight,3,3,False,280.0,0.0,865.4463926416647,31.345487302434886,0.6015666666666667,0.0006027713773341566
noniid,all_rpi5,fedasync,3,2,True,953.3333333333334,56.86240703077327,2393.9606611226664,127.37886620901227,0.5496666666666666,0.08960833294584457
noniid,all_rpi5,fedavg,3,3,False,425.0,69.2820323027551,1320.3887205540038,205.18467886399662,0.6023333333333333,0.0007505553499464949
noniid,all_rpi5,fedbuff,3,1,True,973.3333333333334,46.18802153517006,2293.0660931133357,108.68206528869774,0.5926333333333333,0.009600173609541341
noniid,all_rpi5,fedstaleweight,3,3,False,620.0,85.44003745317531,1485.6886682626598,181.422767486151,0.6043,0.0038314488121336016
noniid,mixed,fedasync,3,3,False,390.0,43.58898943540674,1263.7884665499998,111.4869830615801,0.6123333333333333,0.012919881320404348
noniid,mixed,fedavg,3,3,False,420.0,77.94228634059948,4042.9161697633294,437.2518810148,0.6018,0.0015132745950421577
noniid,mixed,fedbuff,3,3,False,913.3333333333334,83.86497083606083,2388.2828192996653,128.17249848205208,0.6015,0.002179449471770326
noniid,mixed,fedstaleweight,3,3,False,633.3333333333334,55.07570547286102,1771.499392891007,131.8655980324311,0.6045,0.0018248287590894566
