profile,method,buffer_size,label,seeds,reached_seeds,censored,mean_wall_clock_min,std_wall_clock_min,slowdown_vs_none
none,fedavg,,\texttt{FedAvg},3,3,False,67.382,7.288,1.000
none,fedbuff,10,\texttt{FedBuff}\(_{10}\),3,3,False,39.805,2.136,1.000
none,fedstaleweight,10,\texttt{FedSW}\(_{10}\),3,3,False,29.525,2.198,1.000
none,fedasync,1,\texttt{FedAsync},3,3,False,21.063,1.858,1.000
none,fedbuff,5,\texttt{FedBuff}\(_{5}\),3,3,False,50.240,7.050,1.000
none,fedstaleweight,5,\texttt{FedSW}\(_{5}\),3,2,True,56.601,21.280,1.000
mild,fedavg,,\texttt{FedAvg},3,3,False,71.439,2.260,1.060
mild,fedbuff,10,\texttt{FedBuff}\(_{10}\),3,3,False,63.743,15.593,1.601
mild,fedstaleweight,10,\texttt{FedSW}\(_{10}\),3,3,False,44.529,13.586,1.508
mild,fedasync,1,\texttt{FedAsync},3,3,False,18.354,2.539,0.871
mild,fedbuff,5,\texttt{FedBuff}\(_{5}\),3,3,False,50.294,5.596,1.001
mild,fedstaleweight,5,\texttt{FedSW}\(_{5}\),3,1,True,62.429,17.338,1.103
med,fedavg,,\texttt{FedAvg},3,3,False,74.994,8.306,1.113
med,fedbuff,10,\texttt{FedBuff}\(_{10}\),3,3,False,51.980,15.499,1.306
med,fedstaleweight,10,\texttt{FedSW}\(_{10}\),3,3,False,35.921,13.125,1.217
med,fedasync,1,\texttt{FedAsync},3,3,False,22.355,5.987,1.061
med,fedbuff,5,\texttt{FedBuff}\(_{5}\),3,3,False,51.404,9.739,1.023
med,fedstaleweight,5,\texttt{FedSW}\(_{5}\),3,1,True,59.692,18.281,1.055
asym_up,fedavg,,\texttt{FedAvg},3,3,False,71.589,10.454,1.062
asym_up,fedbuff,10,\texttt{FedBuff}\(_{10}\),3,3,False,55.097,18.716,1.384
asym_up,fedstaleweight,10,\texttt{FedSW}\(_{10}\),3,3,False,36.320,16.219,1.230
asym_up,fedasync,1,\texttt{FedAsync},3,3,False,19.023,1.909,0.903
asym_up,fedbuff,5,\texttt{FedBuff}\(_{5}\),3,3,False,62.418,20.308,1.242
asym_up,fedstaleweight,5,\texttt{FedSW}\(_{5}\),3,1,True,76.328,22.147,1.349
asym_down,fedavg,,\texttt{FedAvg},3,3,False,72.516,12.031,1.076
asym_down,fedbuff,10,\texttt{FedBuff}\(_{10}\),3,3,False,52.085,19.384,1.309
asym_down,fedstaleweight,10,\texttt{FedSW}\(_{10}\),3,3,False,39.134,17.704,1.325
asym_down,fedasync,1,\texttt{FedAsync},3,3,False,19.551,2.533,0.928
asym_down,fedbuff,5,\texttt{FedBuff}\(_{5}\),3,3,False,47.776,9.054,0.951
asym_down,fedstaleweight,5,\texttt{FedSW}\(_{5}\),3,1,True,60.000,19.631,1.060
